IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
loby351,57,0,0,0,16.86025,16.73838596491228,0.0,False
loda300,57,0,0,0,7.7,13.309368794326241,0.0,False
loge702,57,0,0,0,11.4,16.35105263157895,0.0,False
lohy238,57,17,1,16,5.246333333333333,15.92519298245614,0.2982456140350877,True
lomo204,57,6,0,6,8.5464,16.51815789473684,0.10526315789473684,True
lore323,57,7,6,1,13.6886,16.80989814814815,0.12280701754385964,True
losy787,57,0,0,0,14.8,26.11545161290323,0.0,False
lota555,57,11,11,0,7.8,12.901175438596491,0.19298245614035087,True
lowa532,57,0,0,0,16.3,26.651925925925926,0.0,False
lowy720,57,0,0,0,12.0105,23.965456140350877,0.0,False
loxu319,57,0,0,0,12.57425,19.746719298245615,0.0,False
lucu601,57,15,4,11,8.750666666666666,12.719649122807017,0.2631578947368421,True
lufy687,57,3,0,3,8.6355,18.677894736842102,0.05263157894736842,False
lula174,57,3,0,3,9.0,16.41863157894737,0.05263157894736842,False
luli756,57,0,0,0,13.153,17.65415789473684,0.0,False
lury747,57,3,3,0,11.7098,16.38117543859649,0.05263157894736842,False
lusi512,57,1,1,0,17.549666666666667,23.411824561403506,0.017543859649122806,False
lyzy104,57,0,0,0,12.578666666666669,22.327333333333335,0.0,False
mabo887,57,3,1,2,9.2126,16.66811403508772,0.05263157894736842,False
mado232,57,0,0,0,18.88,20.97802702702703,0.0,False
magu282,57,0,0,0,17.715333333333334,41.244811320754714,0.0,False
maho931,57,15,13,2,6.468,11.626736363636365,0.2631578947368421,True
maju644,57,20,13,7,6.822333333333333,9.1206,0.3508771929824561,True
manu258,57,0,0,0,10.05875,28.56577192982456,0.0,False
maqu534,57,0,0,0,14.4,19.701649122807016,0.0,False
mari840,57,1,1,0,9.4306,19.367649122807016,0.017543859649122806,False
masu336,57,3,3,0,10.8,12.462296296296294,0.05263157894736842,False
maxy370,57,0,0,0,7.6,16.76591228070175,0.0,False
mecu237,57,3,3,0,12.59925,17.263181818181817,0.05263157894736842,False
mefy253,57,0,0,0,14.5345,22.309157894736842,0.0,False
mesi806,57,0,0,0,22.65266666666667,30.71659649122807,0.0,False
mida684,57,17,1,16,5.0,12.131070175438596,0.2982456140350877,True
mika525,57,8,8,0,12.39325,15.39161403508772,0.14035087719298245,True
mipe544,57,5,0,5,12.8,14.051140350877192,0.08771929824561403,False
mixa281,57,0,0,0,11.413799999999998,19.32026315789474,0.0,False
mofe780,57,0,0,0,13.3,25.471684210526316,0.0,False
moku835,57,6,3,3,7.4,10.211491228070177,0.10526315789473684,True
moly152,57,0,0,0,8.327,11.933741935483871,0.0,False
mory430,57,4,4,0,16.371,37.624210526315785,0.07017543859649122,False
mowy859,57,0,0,0,22.63866666666667,29.192192982456138,0.0,False
mude815,57,17,17,0,8.9,8.816425531914893,0.2982456140350877,True
muku118,57,6,2,4,11.3,13.27501754385965,0.10526315789473684,True
muqo157,57,13,7,6,12.42525,21.70957894736842,0.22807017543859648,True
muta539,57,0,0,0,6.9495,13.252438596491228,0.0,False
muvo194,57,0,0,0,15.4,29.666090909090908,0.0,False
mybu425,57,5,4,1,9.3,16.759561403508773,0.08771929824561403,False
myte214,57,0,0,0,13.710333333333336,30.384087719298243,0.0,False
myve834,57,0,0,0,6.6,13.434964912280702,0.0,False
myzo000,57,0,0,0,13.0118,22.190796296296295,0.0,False
najy705,57,4,4,0,13.721,15.616719298245615,0.07017543859649122,False
naky151,57,0,0,0,12.566,28.106947368421054,0.0,False
nape687,57,13,13,0,18.32033333333333,20.118263157894738,0.22807017543859648,True
nasi298,57,0,0,0,7.6,16.11421052631579,0.0,False
naso669,57,3,3,0,10.35475,13.515614035087719,0.05263157894736842,False
navo572,57,0,0,0,15.8974,19.707771929824563,0.0,False
